Question,Answer,reference,Metadata,Text,意图分类
上海市公共资源交易平台升级改造后，将提供哪些标准化服务？,上海市公共资源交易平台升级改造后，将提供标准化的见证、场所、信息、档案、专家抽取等服务，并建立分类统一的交易规则、数据标准、场所标准、专家管理办法以及交易服务流程。,建立分类统一的交易规则、数据标准、场所标准、专家管理办法以及交易服务流程，提供标准化的见证、场所、信息、档案、专家抽取等服务。,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易平台升级改造工作方案》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",上海市发展和改革委员会关于印发《上海市公共资源交易平台升级改造工作方案》的通知（沪发改法〔2020〕14号）各区人民政府、市公共资源交易整合共享工作协调机制成员单位、各公共资源交易服务机构，其他有关单位：《上海市公共资源交易平台升级改造工作方案》已经市政府批复同意，现印发给你们，请认真组织实施。上海市发展和改革委员会2020年7月10日上海市公共资源交易平台升级改造工作方案为贯彻落实《中共中央、国务院关于构建更加完善的要素市场化配置体制机制的意见》（中发〔2020〕9号）和《国务院办公厅转发国家发展改革委关于深化公共资源交易平台整合共享指导意见的通知》（国办函〔2019〕41号）有关要求，结合本市公共资源交易平台整合共享的工作实际，在《整合建立本市统一公共资源交易平台实施方案》（沪府办发〔2016〕5号）基础上，就升级改造市公共资源交易平台制定本工作方案。一、总体要求贯彻落实国家深化整合共享要求，下好健全本市要素市场化交易平台的先手棋，以构建“一网三平台”运作模式为目标，推动公共资源“一网交易”，全面提升市公共资源交易平台及其交易分平台全流程电子化交易水平，完善组织推进机制，探索法规制度合一，推进交易服务、管理与监督职能相互分离，实现统一规则、统一平台、统一管理。1．统一规则。对公共资源交易实行目录管理，将公共资源交易覆盖范围逐步扩大到适合以市场化方式配置的自然资源、资产股权、环境权等各类公共资源。建立分类统一的交易规则、数据标准、场所标准、专家管理办法以及交易服务流程，提供标准化的见证、场所、信息、档案、专家抽取等服务。完善本市公共资源交易平台管理办法，适时启动制定市政府规章《上海市公共资源交易管理办法》。2．统一平台。建立“一网三平台”运作模式，推进交易服务、管理与监督职能相互分离。,政策知识
上海市公共资源交易平台升级改造项目的实施载体是如何确定的？,从现有公共资源交易服务机构中择优遴选，确定为实施载体，并加挂“上海市公共资源交易中心”牌子，负责运行和维护市公共资源交易平台，做实做强综合交易、综合服务、综合监管系统。,四、工作重点2．明载体，虚转实。从现有公共资源交易服务机构中择优遴选本市公共资源交易平台升级改造项目的实施载体，加挂“上海市公共资源交易中心”牌子，负责运行和维护市公共资源交易平台，做实做强综合交易、综合服务、综合监管系统。,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易平台升级改造工作方案》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",二、基本原则1．博采众长、重塑架构。参照兄弟省市成熟经验做法，对标最高标准、最好水平，同时体现上海特点，充分发挥市场在公共资源配置中的决定性作用，更好地发挥政府作用，完善市公共资源交易平台管理架构。2．统筹兼顾、协同推进。既要建立完善市公共资源交易平台“一网三平台”的运作模式，也要推动交易分平台按照统一标准全面升级改造。3．循序渐进、先易后难。准确把握本市公共资源交易平台整合共享和升级改造的工作节奏，客观对待面临的困难和问题，既要攻坚克难，也要稳步推进。4．分步实施、按季落实。分阶段确定升级改造任务清单，按季度推进，责任到部门，扎实完成市公共资源交易平台整合共享的各项工作任务。三、工作目标按照两个阶段完成升级改造工作。1．第一阶段：2020年底前，落实完成《国务院办公厅转发国家发展改革委关于深化公共资源交易平台整合共享指导意见的通知》（国办函〔2019〕41号）要求，发挥后发优势，体现上海排头兵、先行者的担当作为，市公共资源交易平台整合共享工作尽快走到全国前列。2．第二阶段：2021年2月底前，完成法规制度框架完善、全流程电子化交易、服务流程优化简化、透明度提升、质疑投诉机制完善等任务。四、工作重点1．扩范围，统冠名。制定本市公共资源交易目录，按照“应进必进”的要求，逐步扩大到适合以市场化方式配置的自然资源、资产股权、环境权等各类公共资源。依据市公共资源交易目录，将目录范围内本市现有的公共资源交易平台统一冠名为“上海市公共资源交易平台（某某分平台）”，符合条件的公共资源交易服务机构统一加挂“上海市公共资源交易中心（某某分中心）”牌子。2．明载体，虚转实。从现有公共资源交易服务机构中择优遴选本市公共资源交易平台升级改造项目的实施载体，加挂“上海市公共资源交易中心”牌子，负责运行和维护市公共资源交易平台，做实做强综合交易、综合服务、综合监管系统。3．定制度，强保障。,政策知识
上海市公共资源交易目录是否会进行调整？调整的原则是什么？,上海市公共资源交易目录会根据经济社会发展的需要适时进行调整。调整的原则是“应进必进”，即逐步将适合以市场化方式配置的公共资源统一纳入市公共资源交易平台体系。,本目录根据经济社会发展需要适时调整。按照“应进必进”的原则，逐步将适合以市场化方式配置的公共资源统一纳入市公共资源交易平台体系。,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易目录(2020年版)》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",上海市发展和改革委员会关于印发《上海市公共资源交易目录（2020年版）》的通知（沪发改规范〔2020〕18号）各区人民政府、市公共资源交易整合共享工作协调机制成员单位、各公共资源交易服务机构，其他有关单位：《上海市公共资源交易目录（2020年版）》已经市公共资源交易整合共享工作协调机制审定，现印发给你们，请认真贯彻执行。本目录自2020年9月6日起实施，有效期至2025年9月5日。附件：上海市公共资源交易目录（2020年版）上海市发展和改革委员会2020年8月3日上海市公共资源交易目录（2020年版）说明一、本市公共资源交易实行目录管理，由市发展改革委会同有关部门制订并发布实施。二、本目录所称公共资源交易，是指涉及公共利益、公众安全的具有公有性、公益性的资源交易活动，包括但不限于工程建设项目招标投标、土地使用权出让、国有产权交易、政府采购等。三、本目录根据经济社会发展需要适时调整。按照“应进必进”的原则，逐步将适合以市场化方式配置的公共资源统一纳入市公共资源交易平台体系。四、本目录内的公共资源交易，依托市公共资源交易平台已有交易分平台或综合交易系统进行交易。五、本目录外的新增公共资源交易，原则上不得新建交易平台，统一依托市公共资源交易平台综合交易系统进行交易。六、法律、法规、规章对公共资源交易范围有规定的，从其规定。本目录执行期间，法律、法规、规章对公共资源交易范围有调整的，本目录涉及的交易类别和交易内容自动调整。,政策知识
国有产权交易中，哪些主体可以进行产权转让？,国有产权交易中，可以进行产权转让的主体包括履行出资人职责的机构、国有及国有控股企业、国有实际控制企业，它们可以转让其对企业各种形式出资所形成的权益。,序号交易类别交易内容三国有产权交易产（股）权交易履行出资人职责的机构、国有及国有控股企业、国有实际控制企业转让其对企业各种形式出资所形成权益的行为,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易目录(2020年版)》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",序号交易类别交易内容一工程建设项目招标投标建筑工程房屋建筑工程、市政公用工程、机电工程、园林（廊道）、绿化、人防等其它工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等交通工程铁路工程、公路工程、水运工程、城市道路（含高架、地面道路）、轨道交通、枢纽场站、公共停车场库、公交线路站点等公交系统工程、民用机场工程、桥梁工程、隧道工程、其它交通运输或配套工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等水务工程水利工程、供水工程、排水工程、泵站工程、水文工程、其它水务工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等电力与能源工程火电工程、输配电工程、供电用电工程、新能源工程（风电、生物质能）、石油天然气管网工程、其它电力与能源工程、与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等公用事业基础设施科技、教育、广播电视等工程、体育、文化、旅游等工程、卫生、林业、环卫、社会福利等工程、政府保障性住房等工程、其他公用事业工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等序号交易类别交易内容二土地使用权出让商业、旅游、娱乐、商品住宅等经营性用地出让、工业、科研设计用地及其他用地三国有产权交易产（股）权交易履行出资人职责的机构、国有及国有控股企业、国有实际控制企业转让其对企业各种形式出资所形成权益的行为，国有及国有控股企业、国有实际控制企业增加资本的行为，行政事业单位分立、撤销、合并、改制、隶属关系改变等原因发生的产权和股权转让，金融企业国有出资所形成权益转让以及增加资本的行为知识产权交易企业、事业单位国有知识产权项目（含专利权转让，商标所有权、使用权转让，其他知识产权转让等），政府相关部门组织的专利技术转让、其他知识产权转让等国有技术产权交易项目物权交易国有及国有控股企业、国有实际控制企业的重大资产转让行为（含公房、公车等闲置资产出售、租赁，有一定价值的废旧、淘汰物品处置，其它物品处置），行政机关、团体、事业单位资产处置等产权、物权交易项目（含公房、公车等闲置资产出售、租赁，有一定价值的废旧、淘汰物品处置，各类上交物品处置，其他物品处置）四政府采购国家机关、事业单位和团体组织使用财政性资金采购依法制定的集中采购目录以内的或者采购限额标准以上的工程、货物及服务五机电设备国内招标企业使用国有资金采购的机电设备，包括但不限于机械加工、自动化生产、工业机器人等产业类设备，计算机、打印机、复印机、传真机、通讯等信息类设备，家用电器、家用加工机械、汽车电子化产品、健身运动机械等民生类设备六农村集体产权交易农村集体土地经营权流转、农村集体经营性资产出租、农村集体资产股权转让序号交易类别交易内容七无形资产交易基础设施和公用事业特许经营权授予，市政公用设施及公共场地使用权、承包经营权、冠名权有偿转让，经营性国有资产租赁及经营性权益转让，政府举办的体育赛事承办运营权、冠名及赞助权、转播权等无形资产开发八技术交易企业、事业单位获得财政资金支持的科技成果交易、技术服务交易，科研事业单位职务科技成果交易、技术服务交易（含技术转让、技术许可、技术作价入股、技术服务采购、技术合作开发等），以及政府相关部门组织的技术成果转让、技术成果推广、技术成果供需对接等非关系到国家经济安全、国防安全和国家秘密的科技成果九碳排放交易政府签发的碳配额、碳信用、其他温室气体减排量及相关产品十用能权交易用能单位或其他能源消耗总量和强度“双控”目标责任主体之间年度综合能源消费量指标，以吨标准煤为单位十一司法机关和行政执法部门开展的涉诉、抵债或罚没资产处置人民法院和公安机关、海关等行政执法部门依法处置的资产（含车辆、船舶、飞行器、物资、机械设备、生产资源、生活用品等动产，房屋、在建工程等不动产，股权、各类权益、商标、专利等无形资产，以及法律法规允许变价处置、转让的其他财产）,政策知识
在房屋建筑工程招标中，除了施工和监理，还需要招标哪些相关服务？,在房屋建筑工程招标中，除了施工和监理，还需要招标与工程建设有关的重要设备、材料的采购，以及工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等服务。,序号交易类别交易内容一工程建设项目招标投标建筑工程房屋建筑工程、市政公用工程、机电工程、园林（廊道）、绿化、人防等其它工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易目录(2020年版)》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",序号交易类别交易内容一工程建设项目招标投标建筑工程房屋建筑工程、市政公用工程、机电工程、园林（廊道）、绿化、人防等其它工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等交通工程铁路工程、公路工程、水运工程、城市道路（含高架、地面道路）、轨道交通、枢纽场站、公共停车场库、公交线路站点等公交系统工程、民用机场工程、桥梁工程、隧道工程、其它交通运输或配套工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等水务工程水利工程、供水工程、排水工程、泵站工程、水文工程、其它水务工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等电力与能源工程火电工程、输配电工程、供电用电工程、新能源工程（风电、生物质能）、石油天然气管网工程、其它电力与能源工程、与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等公用事业基础设施科技、教育、广播电视等工程、体育、文化、旅游等工程、卫生、林业、环卫、社会福利等工程、政府保障性住房等工程、其他公用事业工程的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料的采购，工程建设、运维保养有关的招标代理、代建、监测检验、维修保养等序号交易类别交易内容二土地使用权出让商业、旅游、娱乐、商品住宅等经营性用地出让、工业、科研设计用地及其他用地三国有产权交易产（股）权交易履行出资人职责的机构、国有及国有控股企业、国有实际控制企业转让其对企业各种形式出资所形成权益的行为，国有及国有控股企业、国有实际控制企业增加资本的行为，行政事业单位分立、撤销、合并、改制、隶属关系改变等原因发生的产权和股权转让，金融企业国有出资所形成权益转让以及增加资本的行为知识产权交易企业、事业单位国有知识产权项目（含专利权转让，商标所有权、使用权转让，其他知识产权转让等），政府相关部门组织的专利技术转让、其他知识产权转让等国有技术产权交易项目物权交易国有及国有控股企业、国有实际控制企业的重大资产转让行为（含公房、公车等闲置资产出售、租赁，有一定价值的废旧、淘汰物品处置，其它物品处置），行政机关、团体、事业单位资产处置等产权、物权交易项目（含公房、公车等闲置资产出售、租赁，有一定价值的废旧、淘汰物品处置，各类上交物品处置，其他物品处置）四政府采购国家机关、事业单位和团体组织使用财政性资金采购依法制定的集中采购目录以内的或者采购限额标准以上的工程、货物及服务五机电设备国内招标企业使用国有资金采购的机电设备，包括但不限于机械加工、自动化生产、工业机器人等产业类设备，计算机、打印机、复印机、传真机、通讯等信息类设备，家用电器、家用加工机械、汽车电子化产品、健身运动机械等民生类设备六农村集体产权交易农村集体土地经营权流转、农村集体经营性资产出租、农村集体资产股权转让序号交易类别交易内容七无形资产交易基础设施和公用事业特许经营权授予，市政公用设施及公共场地使用权、承包经营权、冠名权有偿转让，经营性国有资产租赁及经营性权益转让，政府举办的体育赛事承办运营权、冠名及赞助权、转播权等无形资产开发八技术交易企业、事业单位获得财政资金支持的科技成果交易、技术服务交易，科研事业单位职务科技成果交易、技术服务交易（含技术转让、技术许可、技术作价入股、技术服务采购、技术合作开发等），以及政府相关部门组织的技术成果转让、技术成果推广、技术成果供需对接等非关系到国家经济安全、国防安全和国家秘密的科技成果九碳排放交易政府签发的碳配额、碳信用、其他温室气体减排量及相关产品十用能权交易用能单位或其他能源消耗总量和强度“双控”目标责任主体之间年度综合能源消费量指标，以吨标准煤为单位十一司法机关和行政执法部门开展的涉诉、抵债或罚没资产处置人民法院和公安机关、海关等行政执法部门依法处置的资产（含车辆、船舶、飞行器、物资、机械设备、生产资源、生活用品等动产，房屋、在建工程等不动产，股权、各类权益、商标、专利等无形资产，以及法律法规允许变价处置、转让的其他财产）,招中标知识
申请备案的机构在项目经验方面有哪些具体要求？,申请备案的机构在项目经验方面的具体要求是：近3年内承担国家或本市相关领域项目总计不少于3项，或完成至少3项国家级或本市市级课题。,机构或主要技术负责人近3年内承担国家或本市碳排放核算方法编制、温室气体清单编制、试点企业碳排放状况初始报告盘查等领域项目总计不少于3项；或近3年内在温室气体控制和管理领域完成至少3项国家级或本市市级课题的本市节能量审核机构、节能评审机构。,"{'title': '上海市发展和改革委员会关于印发《上海市碳排放核查第三方机构管理暂行办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",第四条（管理部门）市发展改革委负责对核查机构进行备案管理，制定核查工作规则，建立向社会公开的核查机构名录，并对核查机构、核查人员及其碳排放核查工作进行监督。第五条（申报条件）市发展改革委负责受理核查机构备案申请，并按照公开、自愿的原则组织申报。下列机构可以申请备案：（一）具备以下条件，在本市行政区域内注册，并具有独立法人资格的企事业单位：1、企业法人注册资本不低于人民币1000万元，事业法人开办资金不低于人民币500万元，具有一定的经济偿付能力；2、具有开展业务活动所需的固定场所、设施、办公条件，以及稳定的财务支持和完善的财务制度；3、机构或主要技术负责人近3年内承担国家或本市碳排放核算方法编制、温室气体清单编制、试点企业碳排放状况初始报告盘查等领域项目总计不少于3项；或近3年内在温室气体控制和管理领域完成至少3项国家级或本市市级课题的本市节能量审核机构、节能评审机构；4、具有6名以上核查人员；5、具备健全的核查工作相关内部质量管理制度，包括：明确管理层和核查人员的任务、职责和权限，明确至少1名高级管理人员作为核查工作技术负责人，明确保密管理、核查人员管理、核查活动管理、核查文件管理、申诉、投诉和争议处理、不符合及整改措施处理等相关规定。（二）经国家发展改革委备案的温室气体自愿减排项目审定与核证机构，且在本市登记注册或在本市设有分支机构的单位，近3年在国内完成的CDM项目、自愿减排项目审定与核查或ISO14064企业温室气体核查等项目总计不少于10个，且在本市完成上述领域项目不少于2个，并在本市有6名以上核查人员。,招中标知识
在进行网络同步拍卖时，需要完善哪些规章制度？,在进行网络同步拍卖时，需要完善与网络同步拍卖系统配套的网络同步拍卖规则、网络同步拍卖流程等相应的规章制度，以满足各拍卖当事人的需求。,（二）具体措施1、加强拍卖行业规范。一是做好网络拍卖规范的基础工作。深入开展课题研究，完善与网络同步拍卖系统配套的网络同步拍卖规则、网络同步拍卖流程等相应的规章制度，满足各拍卖当事人的需求。,"{'title': '上海市商务委、市工商局关于印发《关于建设拍卖公共平台推进网络同步拍卖的指导意见》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",二、重点工作（一）工作目标在各有关部门监督管理下，以企业发展、市场需求为主导，加快公共平台的建设和功能提升，发挥公共平台的信息发布、促进交易和辅助监管的联动效应，力争在2011年上半年内，率先在公共资源拍卖领域中应用网络同步拍卖，2011年年底前拓展到机动车、文物艺术品等专业拍卖等领域。（二）具体措施1、加强拍卖行业规范。一是做好网络拍卖规范的基础工作。深入开展课题研究，完善与网络同步拍卖系统配套的网络同步拍卖规则、网络同步拍卖流程等相应的规章制度，满足各拍卖当事人的需求。市拍卖行业协会制定推进网络同步拍卖的规划，形成较全面的推进方案，引导企业落实和应用；二是规范拍卖公告发布行为。公共资源的拍卖，必须在主流媒体和市拍卖行业协会网站发布拍卖公告，同时在网络拍卖公共平台发布拍卖公告并展示拍卖标的，实现信息公开最大化。2、推进公共平台体系建设。一是做好公共平台功能衔接。充分发挥现有平台优势，不断完善服务和管理功能，提升数据交互能力，将行业统计、数据分析、主管部门的年检督查等功能融入平台管理，同时，满足工商、法院、海关、公安等部门通过网络平台开展有关管理工作的需求，进一步提高拍卖服务质量和工作水平；二是落实网络同步拍卖设施配套。企业应用网络同步拍卖，必须拥有适应网络拍卖的拍卖场地，配置必需的电脑、投影、音视频发布等硬件设施，并且具备符合条件的网络环境；三是加强公共平台的管理维护工作。加强网络拍卖安全管理与维护，细化防范措施和应急预案，防范恶意攻击，保障正常的拍卖秩序。3、做好培训和宣传。一是加强专业人才培养。组织网络拍卖技术应用专题培训，提高拍卖管理人员、技术人员及拍卖师等从业人员对实施网络拍卖意义的认识，了解网络拍卖的规则和流程，熟练掌握网络拍卖技术在拍卖活动中的应用；二是加强宣传和引导。,政策知识
上海市拍卖行业公共平台计划在哪些领域率先应用网络同步拍卖？,上海市拍卖行业公共平台计划在2011年上半年内率先在公共资源拍卖领域中应用网络同步拍卖，并在2011年年底前拓展到机动车、文物艺术品等专业拍卖领域。,力争在2011年上半年内，率先在公共资源拍卖领域中应用网络同步拍卖，2011年年底前拓展到机动车、文物艺术品等专业拍卖等领域。,"{'title': '上海市商务委、市工商局关于印发《关于建设拍卖公共平台推进网络同步拍卖的指导意见》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",沪商服务〔2011〕257号各拍卖企业：为贯彻落实国务院和本市关于加快发展现代服务业有关精神，以及商务部关于促进网络拍卖发展的指导意见，推动上海拍卖业创新发展，提升行业服务能级，本市将建设拍卖公共平台（以下简称“公共平台”），推进实施网络同步拍卖，现将《关于建设拍卖公共平台推进网络同步拍卖的指导意见》印发你们，请结合企业实际情况贯彻执行。上海市商务委员会上海市工商行政管理局二〇一一年五月九日关于建设拍卖公共平台推进网络同步拍卖的指导意见一、建设拍卖公共平台的重要意义和指导思想（一）重要意义上海市拍卖行业公共平台是集“企业参与、协会运行、网络竞价、社会监管”功能为一体的综合性管理服务平台。该平台以传统拍卖为主导，以网络同步拍卖为重要手段，运用互联网信息技术，通过对拍卖会现场的直播，实现了网络竞价与拍卖会现场竞价的同步，扩大信息覆盖面，有利于营造公开、公平、公正的拍卖环境，提高服务能力。同时，有利于行业监管，尤其在公物、罚没物资、司法委托和国有产权拍卖等公共资源拍卖领域意义重大。（二）指导思想按照加快建设本市“四个中心”的战略目标和加快转变经济发展方式的总体要求，把促进拍卖行业创新转型作为其中一项重要战略举措，以市场需求为导向，用现代信息技术提升和完善传统拍卖方式，建立公开化、社会化、市场化的运行机制，切实保证拍卖行业规范运营，促进拍卖行业提升发展。二、重点工作（一）工作目标在各有关部门监督管理下，以企业发展、市场需求为主导，加快公共平台的建设和功能提升，发挥公共平台的信息发布、促进交易和辅助监管的联动效应，力争在2011年上半年内，率先在公共资源拍卖领域中应用网络同步拍卖，2011年年底前拓展到机动车、文物艺术品等专业拍卖等领域。（二）具体措施1、加强拍卖行业规范。一是做好网络拍卖规范的基础工作。,招中标知识
上海市公共资源拍卖监督管理委员会的成员单位是如何确定的？,上海市公共资源拍卖监督管理委员会的成员单位由相关职能部门商议后确定，具体成员单位需由市商务委与相关职能部门协商确定。,二、同意组建上海市公共资源拍卖监督管理委员会，对拍卖中心的运行实施监管，监管会成员单位拟由我委商相关职能部门后确定。监管会办公室设在市商务委服务业发展处；,"{'title': '上海市商务委员会', 'time': '关于同意成立上海市公共资源拍卖中心的批复', 'infosource': '10:37'}",上海市拍卖行业协会：你会《关于成立上海市公共资源拍卖中心的请示》（上拍协[2011]18号）收悉，经研究，对有关事项批复如下：一、同意你会牵头成立上海市公共资源拍卖中心，并组建相应的管理机构，负责日常运行管理，请依据相关法律法规管理，清依据相关法律法规办理备案等手续；二、同意组建上海市公共资源拍卖监督管理委员会，对拍卖中心的运行实施监管，监管会成员单位拟由我委商相关职能部门后确定。监管会办公室设在市商务委服务业发展处；三、同意将司法委托、公物罚没物资等公共资源的拍卖活动先期纳入拍卖中心运作，待运行成熟后，向其他领域拍卖活动开放。上海市公共资源拍卖中心成立后，应不断完善和健全各项规章制度，充分履行自身职能：主动接受各方监管和指导，认真体现“三公”原则。注重依托网络同步拍卖等信息系统，不断提升中心的管理水平和服务质量，保障拍卖活动正常有序进行，为上海拍卖业的繁荣发展和国际贸易中心建设作出应有贡献。特此批复。二〇一一年十一月十五日,政策知识
上海市公共资源拍卖中心在成立后需要履行哪些职能？,上海市公共资源拍卖中心在成立后需要不断完善和健全各项规章制度，主动接受各方监管和指导，认真体现“公开、公平、公正”的“三公”原则，确保拍卖活动的规范运行。,上海市公共资源拍卖中心成立后，应不断完善和健全各项规章制度，充分履行自身职能：主动接受各方监管和指导，认真体现“三公”原则。,"{'title': '上海市商务委员会', 'time': '关于同意成立上海市公共资源拍卖中心的批复', 'infosource': '10:37'}",上海市拍卖行业协会：你会《关于成立上海市公共资源拍卖中心的请示》（上拍协[2011]18号）收悉，经研究，对有关事项批复如下：一、同意你会牵头成立上海市公共资源拍卖中心，并组建相应的管理机构，负责日常运行管理，请依据相关法律法规管理，清依据相关法律法规办理备案等手续；二、同意组建上海市公共资源拍卖监督管理委员会，对拍卖中心的运行实施监管，监管会成员单位拟由我委商相关职能部门后确定。监管会办公室设在市商务委服务业发展处；三、同意将司法委托、公物罚没物资等公共资源的拍卖活动先期纳入拍卖中心运作，待运行成熟后，向其他领域拍卖活动开放。上海市公共资源拍卖中心成立后，应不断完善和健全各项规章制度，充分履行自身职能：主动接受各方监管和指导，认真体现“三公”原则。注重依托网络同步拍卖等信息系统，不断提升中心的管理水平和服务质量，保障拍卖活动正常有序进行，为上海拍卖业的繁荣发展和国际贸易中心建设作出应有贡献。特此批复。二〇一一年十一月十五日,政策知识
上海市公共资源拍卖中心如何提升管理水平和服务质量？,上海市公共资源拍卖中心通过依托网络同步拍卖等信息系统，不断提升其管理水平和服务质量，确保拍卖活动正常有序进行，从而为上海拍卖业的繁荣发展和国际贸易中心建设作出贡献。,注重依托网络同步拍卖等信息系统，不断提升中心的管理水平和服务质量，保障拍卖活动正常有序进行，为上海拍卖业的繁荣发展和国际贸易中心建设作出应有贡献。,"{'title': '上海市商务委员会', 'time': '关于同意成立上海市公共资源拍卖中心的批复', 'infosource': '10:37'}",上海市拍卖行业协会：你会《关于成立上海市公共资源拍卖中心的请示》（上拍协[2011]18号）收悉，经研究，对有关事项批复如下：一、同意你会牵头成立上海市公共资源拍卖中心，并组建相应的管理机构，负责日常运行管理，请依据相关法律法规管理，清依据相关法律法规办理备案等手续；二、同意组建上海市公共资源拍卖监督管理委员会，对拍卖中心的运行实施监管，监管会成员单位拟由我委商相关职能部门后确定。监管会办公室设在市商务委服务业发展处；三、同意将司法委托、公物罚没物资等公共资源的拍卖活动先期纳入拍卖中心运作，待运行成熟后，向其他领域拍卖活动开放。上海市公共资源拍卖中心成立后，应不断完善和健全各项规章制度，充分履行自身职能：主动接受各方监管和指导，认真体现“三公”原则。注重依托网络同步拍卖等信息系统，不断提升中心的管理水平和服务质量，保障拍卖活动正常有序进行，为上海拍卖业的繁荣发展和国际贸易中心建设作出应有贡献。特此批复。二〇一一年十一月十五日,政策知识
竞买人参与公共资源拍卖需要履行哪些手续和遵守哪些规定？,竞买人需要按照拍卖公告约定的时间、地点和要求办理竞买登记手续，并同意遵守拍卖规定、竞买规则等拍卖文件。如果法律法规及相关规定对竞买人资格有要求，竞买人还应当符合这些要求。,竞买人应按照拍卖公告约定的时间、地点和要求，办理竞买登记手续，同意遵守拍卖规定、竞买规则等拍卖文件。法律法规及相关规定对竞买人资格有要求的，竞买人应当符合其要求。,"{'title': '上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",做到统一进场交易、统一网络平台、统一发布公告、统一接受监管、统一资金管理。第五条（监管部门）上海市商务委员会根据职责统筹协调处理本市公共资源拍卖活动中涉及的重大问题。上海市经济和信息化委员会、上海市市场监督管理局、上海市公安局、上海市财政局、上海市机关事务管理局、上海海关等部门按照各自职责依法对本市公共资源拍卖活动开展监督管理。第六条（监管方式）各监管部门根据需要不定期召开会议，实施联合议事监管。各监管部门可以通过公共资源拍卖平台建立的兼具拍卖业务和拍卖监管功能的信息化系统，开展动态数据采集和网络实时监管。第二章拍卖活动组织规则第七条（公共资源拍卖平台）公共资源拍卖平台应当具备相应网络系统、设施设备以及线上线下融合的功能，可实现现场拍卖、现场与网络同步拍卖、网络拍卖。第八条（委托人）公共资源拍卖的委托人是指依法处置、出让、管理公共资源的各类法人或其他组织。第九条（拍卖人）公共资源拍卖人应为依法注册的企业法人，并符合以下要求：（一）取得从事拍卖业务的许可；（二）具有良好的商业信誉和健全的财务会计制度；（三）具有履行委托拍卖合同所必需的设备和专业技术能力；（四）有依法缴纳税金和社会保险的良好记录；（五）近两年内没有重大违法违规或失信记录。委托人有特殊要求的，拍卖人应当符合其要求。第十条（竞买人）公共资源拍卖竞买人是指参加竞购公共资源拍卖标的的公民、法人或者其他组织。竞买人应按照拍卖公告约定的时间、地点和要求，办理竞买登记手续，同意遵守拍卖规定、竞买规则等拍卖文件。法律法规及相关规定对竞买人资格有要求的，竞买人应当符合其要求。第十一条（拍卖保证金）拍卖保证金是指竞买人同意遵守规则和相关约定，参与公共资源拍卖活动，承担竞买责任所提交的履约保证资金。竞买人应按约定的时间和方式足额交纳拍卖保证金。,招中标知识
