Question,True_Title,Recalling,Recall_Weight
意向投资人在获得资格确认后，需要做什么才能成为合格意向投资人？,【产权交易】企业增资业务规则（试行）,1,1
上海联合产权交易所有限公司收到来电咨询时，业务员暂时离席，怎么办？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
如果供应商在截止时间后送达响应文件，会被接受吗？,政府采购非招标采购方式管理办法,1,2
国有资产监督管理机构在决定转让国有股权时，需要哪些批准程序？,企业国有资产监督管理暂行条例,0,
碳排放配额的具体定义是什么？,上海市碳排放管理试行办法,1,1
在设定政府购买服务承接主体条件时，有哪些注意事项？,政府购买服务管理办法,1,1
公开招标公告中必须包含哪些基本信息？,财政部关于做好政府采购信息公开工作的通知,1,2
招标人不按规定组建评标委员会会有什么后果？,工程建设项目施工招标投标办法,1,2
政府采购评审专家库是如何进行管理的？,中华人民共和国政府采购法实施条例,1,2
什么是建筑市场信用信息？,上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知,1,1
在哪些情况下，交易所可以限制或终止会员的业务和资格？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
在金融企业国有资产转让过程中，财政部门对转让方报送的材料审核的重点是什么？,金融企业国有资产转让管理办法,1,1
竞买人需要满足哪些资格要求才能参与公共资源拍卖？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
联交所收到增资申请材料后，多长时间内需要进行形式审核？,【产权交易】企业增资业务规则（试行）,1,2
公共资源拍卖活动需要遵循哪些基本原则？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,2
政府采购中，哪些部门负责监督检查促进中小企业发展政策的执行情况？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
在申请增资信息正式公告时，增资人需要额外提交哪些材料？,【产权交易】企业增资业务规则（试行）,1,1
政府采购当事人违反规定给他人造成损失，应承担什么责任？,政府采购非招标采购方式管理办法,1,10
如果投标文件在截止时间后送达，采购人是否可以接受该投标文件？,政府采购货物和服务招标投标管理办法,1,1
地方采购项目的预算金额超过500万元时，信息发布有哪些特别要求？,财政部关于做好政府采购信息公开工作的通知,1,1
在招投标评审中，如何分析和评估投标公司近三年的财务状况？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
政府采购预算中，面向中小企业的采购比例有何具体要求？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
供应商的诚信状况是如何被记录和管理的？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
在政府采购投诉处理过程中，哪些情况下财政部门会驳回投诉？,政府采购质疑和投诉办法,1,1
国有独资企业在招投标过程中，是否需要承担企业国有资产的保值增值责任？,企业国有资产监督管理暂行条例,1,1
区域性股权市场的诚信信息是否需要记入中国证监会的诚信档案数据库？,区域性股权市场监督管理试行办法,1,1
编写增资人简介时，需要涵盖哪些方面的内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,2
办理施工直接发包和合同备案手续的表格在哪里填报？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
电子招标投标平台是否可以要求投标人购买指定的工具软件？,电子招标投标办法,1,1
受托机构如何评估增资人管理层的诚信情况？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
投诉处理过程中产生的第三方费用由谁承担？,政府采购质疑和投诉办法,1,1
交易平台收到投标文件后，需要向投标人提供什么反馈？,电子招标投标办法,1,1
评审现场组织工作是否可以由一个人单独完成？,财政部关于加强政府采购活动内部控制管理的指导意见,0,
在施工招标中，招标人能否将工程技术上紧密相连的单位工程分割成多个标段进行招标？,工程建设项目施工招标投标办法,1,5
区域性股权市场的信息系统安全由谁负责？,区域性股权市场监督管理试行办法,1,1
在政务信息系统采购活动中，采购人是否需要指派代表参与评审？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
本市碳排放配额分配方案由哪些部门制定，需要经过哪些审批程序？,上海市碳排放管理试行办法,1,1
如果纳入配额管理的单位发生合并，其配额和相关权利义务如何处理？,上海市碳排放管理试行办法,1,2
如果投标人对开标过程有疑义，应该怎么处理？,政府采购货物和服务招标投标管理办法,1,1
在依法必须进行招标的工程建设项目中，招标人需要上报什么文件，包含哪些内容？,工程建设项目货物招标投标办法,1,4
在招投标过程中，如何评估一家公司的独立性？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
挂牌出让过程中，挂牌截止时如何确定最高报价及其报价者？,招标拍卖挂牌出让国有建设用地使用权规定,1,2
财政部门在监督政府采购内部控制管理制度方面有哪些具体措施？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
所出资企业在经营管理国有资产时，需要承担哪些责任？,企业国有资产监督管理暂行条例,1,1
在评估公司股权结构时，需要关注哪些关键信息？,【产权交易】企业增资业务受托机构工作指引（试行）,0,
在审查增资人公司治理情况时，应重点关注哪些方面？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
市发展改革部门在第三方机构管理方面需要建立哪些制度？,上海市碳排放管理试行办法,1,3
哪些组织属于农业生产经营组织？,中华人民共和国农业法,1,1
在进行监理直接发包和合同备案手续办理前，需要满足哪些前提条件？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
拍卖未成交时，拍卖人能否向委托人收取费用？如果能，收费标准是什么？,中华人民共和国拍卖法,1,1
外籍高层次人才在上海市如何办理工作许可和居留许可？,上海市优化营商环境条例,1,1
磋商小组在审查响应文件时，发现文件中有含义不明确的内容，可以要求供应商澄清吗？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
询价采购需求中的技术和服务要求需要满足哪些条件？,政府采购非招标采购方式管理办法,1,3
政府采购活动中，供应商的信用记录是如何影响其参与资格的？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,2
受托机构在核实增资人是否完成增资审批程序时，需要关注哪些方面？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
招标人或其委托的招标代理机构在发布资格预审公告、招标公告或投标邀请书时，需要包含哪些信息？,电子招标投标办法,1,4
中标人或竞得人在确定中标后，需要在什么时间内与出让人签订出让合同？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
如果评标委员会拒绝复核评标结果，采购代理机构应该如何处理？,政府采购货物和服务招标投标管理办法,1,1
在哪些情况下，企业增资可以采取非公开协议方式？,企业国有资产交易监督管理办法,1,3
上海市公共资源交易中心评标（评审）专家信用记分在60分到70分之间时，会面临什么处罚？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
纳入配额管理的单位在进行节能改造和淘汰落后产能时，能否继续享受节能减排专项资金支持？,上海市碳排放管理试行办法,1,1
电子招标投标交易平台运营机构需要采取哪些技术措施来保证平台的安全性和可靠性？,电子招标投标办法,1,1
转让方在完成金融企业国有资产转让后，需要办理哪些后续手续？,金融企业国有资产转让管理办法,1,1
成交供应商确定后，采购人需要在多长时间内公告成交结果？,政府采购非招标采购方式管理办法,1,1
投标人在投标截止时间前撤回投标文件，采购人应在多少个工作日内退还投标保证金？,政府采购货物和服务招标投标管理办法,0,
如何有效盘活行政事业单位的存量资产？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
评标专家有哪些权利？,评标专家和评标专家库管理暂行办法,1,2
在拍卖会上，如果主持人连续三次宣布同一应价但没有再应价，是否可以直接宣布成交？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
评标评审专家如何在线进行评标评审并提交报告？,上海市公共资源交易管理办法,0,
投诉人在投诉处理决定做出前要求撤回投诉，行政监督部门如何处理？,工程建设项目招标投标活动投诉处理办法,1,1
政府采购信息公开工作的重要性体现在哪些方面？,财政部关于做好政府采购信息公开工作的通知,1,1
采购人在选择采购代理机构时，是否需要查询其信用记录？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
政府购买服务项目在选择时，应优先考虑哪些方面的项目？,政府购买服务管理办法,1,1
法人分支机构可以独立参加政府采购活动吗？法人和其分支机构能否同时参与同一项目的采购活动？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,2
招标文件或资格预审文件的出售时间有何规定？,工程建设项目施工招标投标办法,1,2
上市金融企业转让国有股份需要通过什么途径进行？,金融企业国有资产转让管理办法,1,1
如果投诉处理中发现被投诉单位的相关人员有违法行为，会如何处理？,工程建设项目招标投标活动投诉处理办法,1,1
评标专家在评标过程中有哪些禁止行为？,评标专家和评标专家库管理暂行办法,1,1
提交产权交易中止申请时，需要提供哪些材料？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
评标过程中，采购人的其他工作人员可以进入评标现场吗？,政府采购货物和服务招标投标管理办法,1,1
拍卖活动的相关记录需要保存多长时间？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,2
招标出让国有建设用地使用权的具体流程是怎样的？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
如果我们的公司已经无偿取得了此后年度的配额，但在审定结论后需要完成配额清缴义务，这些无偿取得的配额会被如何处理？,上海市碳排放管理试行办法,1,1
评审专家因严重违规被取消资格后，还能参加政府采购项目的评审吗？,政府采购非招标采购方式管理办法,1,1
行政事业单位资产管理信息系统需要与哪些系统实现对接？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
增资方案通常需要包含哪些主要内容？,【产权交易】企业增资业务规则（试行）,1,1
拍卖师资格证书由哪个机构颁发？,中华人民共和国拍卖法,1,2
投标人在投标截止时间前撤回投标文件，采购人多久内需要退还投标保证金？,政府采购货物和服务招标投标管理办法,0,
如果采购人在规定时间内未确定中标人，会如何处理？,政府采购货物和服务招标投标管理办法,1,1
招标文件可以只用英文编写吗？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,2
联交所需要在多长时间内将意向投资人的信息反馈给增资人？,【产权交易】企业增资业务规则（试行）,1,1
我在投诉招投标活动时，哪些情况下投诉不会被受理？,工程建设项目招标投标活动投诉处理办法,1,1
国家出资企业的产权转让需要经过哪些审批程序？,企业国有资产交易监督管理办法,1,1
新建房屋在保修期内再转让，原房地产转让人是否还需承担保修责任？,上海市房地产转让办法,1,1
设区的市、自治州级人民政府履行出资人职责的国有及国有控股、国有参股企业，需要向哪个机构备案？,企业国有资产监督管理暂行条例,1,1
招投标项目中的工作底稿需要保存多长时间？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
如果转让方或转让标的企业在国有资产转让过程中违规，会受到哪些处罚？,金融企业国有资产转让管理办法,1,2
政府采购项目中，财政部门处理投诉事项时，所需时间是否计入投诉处理期限内？,中华人民共和国政府采购法实施条例,1,3
供应商在提交最后报价前退出谈判，其保证金如何处理？,政府采购非招标采购方式管理办法,1,1
哪些公共资源交易事项需要列入交易目录？,上海市公共资源交易管理办法,1,1
谈判文件中必须包含哪些主要内容？,政府采购非招标采购方式管理办法,1,1
评审专家在政府采购项目中若出现严重违规行为，会受到哪些处罚？,政府采购非招标采购方式管理办法,1,6
政府购买服务合同中必须包含哪些关键条款？,政府购买服务管理办法,1,1
拍卖保留价是如何确定的，并且需要通知哪些人？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
在什么情况下，采购人可以要求投标人提供样品？,政府采购货物和服务招标投标管理办法,1,1
在政府采购过程中，采购人和采购代理机构应通过哪些渠道查询供应商的信用记录？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
哪些政府采购信息需要由采购人或者其委托的采购代理机构负责公开？,财政部关于做好政府采购信息公开工作的通知,1,1
在招投标活动中，哪些文件需要按照《中华人民共和国电子签名法》进行电子签名和存档？,电子招标投标办法,1,2
采购需求应当包含哪些具体内容？,政府采购货物和服务招标投标管理办法,1,4
在工作底稿中，工作记录和附件的具体作用是什么？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
出让国有土地上房地产转让时，出让合同中的权利和义务如何处理？,上海市房地产转让办法,1,1
会员合并后新设立的法人如何承继会员资格？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
在会员代表空缺期间，由谁代行会员代表职责？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
谁负责推动建立本地区统一的电子招标投标公共服务平台？,电子招标投标办法,1,1
行政事业单位所属企业是否需要向国家上交国有资本经营收益？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
上海市公共资源交易平台的运行和维护由哪个机构负责？,上海市公共资源交易管理办法,1,4
投资者在区域性股权市场买卖证券时，需要向哪个机构申请开立证券账户？,区域性股权市场监督管理试行办法,1,1
在电子招标投标活动中，是否允许伪造、篡改或损毁相关信息？,电子招标投标办法,1,1
上海市交易中心在隔夜评标过程中需要安排值班人员吗？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
企业国有资产交易需要遵循哪些基本原则和规定？,企业国有资产交易监督管理办法,1,1
在什么情况下，采购人可以从原供应商处添购原有采购项目而不需要重新审核？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
如果一个项目的勘察、设计和施工分别估算价为150万元、150万元和200万元，是否需要招标？,必须招标的工程项目规定,1,1
受托机构在调查增资人业务情况时，可以采取哪些具体方法？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
拟采用单一来源采购方式的项目，在报财政部门批准前需要公示哪些内容？,政府采购非招标采购方式管理办法,1,1
在政府采购监督检查和投诉处理中，中小企业认定由哪个部门负责？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
上海市公共资源交易中心多久更新一次评标专家的信用记分？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
投标保证金的付款人有什么具体要求？,投标保证金提交与退还操作须知,1,3
如何确定政府采购岗位的轮岗周期？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
提交外文证据时需要满足哪些要求？,政府采购质疑和投诉办法,1,5
在企业破产过程中，哪些部门会参与协调机制来解决相关问题？,上海市优化营商环境条例,1,1
如果采购人逾期退还投标保证金，需要支付额外的费用吗？,政府采购货物和服务招标投标管理办法,1,7
资产处置事项的备案流程是怎样的？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,0,
供应商在政府采购活动中如果提供虚假材料谋取中标，会受到哪些处罚？,财政部关于印发《政府采购进口产品管理办法》的通知,0,
编制尽职调查工作底稿时，需要满足哪些基本要求？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
编制资格预审文件时，需要考虑哪些因素？,政府采购货物和服务招标投标管理办法,1,1
投标文件中报价出现不一致情况时，应如何进行修正？,政府采购货物和服务招标投标管理办法,1,1
政府采购投诉或监督检查处理决定完成后，多久内需要公告？,财政部关于做好政府采购信息公开工作的通知,1,1
在拍卖过程中，委托人是否需要向拍卖人说明拍卖标的的来源和瑕疵？,中华人民共和国拍卖法,1,1
市发展改革部门在实施监督管理时可以采取哪些具体措施？,上海市碳排放管理试行办法,0,
省级以上国资监管机构在选择产权交易机构时有哪些具体要求？,企业国有资产交易监督管理办法,1,1
上海市建设工程勘察项目的直接发包和合同备案手续办理需要多长时间？,上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知,1,1
公共资源拍卖平台如何加强对拍卖活动的规范引导？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
在招标过程中，采购人和采购代理机构能否将投标人的注册资本、资产总额等规模条件作为资格要求或评审因素？,政府采购货物和服务招标投标管理办法,1,1
对于面向社会主体提供服务的政务信息系统，在采购需求中是否必须采用云计算模式？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
政府采购项目信息应当在哪里发布？,中华人民共和国政府采购法实施条例,0,
为什么需要将资产管理与财务管理、实物管理与价值管理相结合？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
综合类会员在哪些情况下不能接受客户委托进行交易？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
投标过程中，哪些行为属于违规串通投标？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
哪些主体可以被视为投标人？,政府采购货物和服务招标投标管理办法,0,
产权转让项目首次正式信息披露的转让底价有何要求？,企业国有资产交易监督管理办法,1,2
农业法中定义的“农业”具体包括哪些产业？,中华人民共和国农业法,1,1
投资方以非货币资产出资时，需要经过哪些程序？,企业国有资产交易监督管理办法,1,1
政府采购项目中，大型企业获得合同后，是否可以分包给中小企业？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
依法必须招标的工程建设项目在报送审批、核准材料时，需要包含哪些招标内容？,工程建设项目货物招标投标办法,1,2
在行政事业单位资产配置过程中，应当遵循哪些基本原则？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
增资企业在增资活动期间发生重大变化时，需要采取哪些措施？,【产权交易】企业增资业务规则（试行）,1,1
如果转让项目自首次信息披露起超过12个月未征集到合格受让方，需要怎么做？,企业国有资产交易监督管理办法,1,1
企业国有资产监督管理暂行条例的制定目的是什么？,企业国有资产监督管理暂行条例,1,1
如果货物或服务采购项目达到公开招标数额标准，但想采用竞争性磋商方式，需要经过哪些审批程序？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
政务信息系统采购需求具体需要包含哪些内容？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,1,1
谁是水运工程建设项目的招标人？,水运工程建设项目招标投标管理办法,1,1
受托机构及相关人员对工作底稿中的哪些信息负有保密责任？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
在招标过程中，如何确定中标人？,招标拍卖挂牌出让国有建设用地使用权规定,0,
拍卖人在接受委托时需要做哪些工作？,中华人民共和国拍卖法,1,2
谁负责决定所出资企业的国有股权转让？,企业国有资产监督管理暂行条例,1,2
评标专家入选专家库有哪些途径？,评标专家和评标专家库管理暂行办法,1,1
行政事业单位的国有资产所有权和使用权是如何分配的？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
发布媒介需要向哪些部门报送招标公告和公示信息的发布情况？,招标公告和公示信息发布管理办法,1,1
如何提升行政事业单位国有资产管理的有效性？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
在处置国有资产时，需要遵循哪些原则和程序？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,9
在拍卖标的受让人有特别规定的情况下，拍卖企业和委托人分别有哪些注意事项？,拍卖管理办法,1,1
在什么情况下，联交所会中止增资活动？,【产权交易】企业增资业务规则（试行）,1,1
在进行招投标项目时，如何全面分析增资人所处行业的发展趋势和风险？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
政府采购合同应包含哪些主要内容？,政府采购货物和服务招标投标管理办法,0,
本市在推动长三角区域公共资源交易协同合作方面有哪些具体措施？,上海市公共资源交易管理办法,1,1
上海市公共资源交易中心评标（评审）专家信用记分低于60分会有什么后果？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
小型、微型企业获得政府采购合同后，能否将合同分包或转包给大型、中型企业？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,1,1
拍卖企业在举办拍卖活动时，公告发布的时间和媒体选择有哪些具体要求？,拍卖管理办法,1,1
为什么鼓励大型居住社区采用设计、施工、采购一体化（EPC）总承包模式？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
监管部门在处理政府采购投诉时，需要建立哪些机制来确保决策的合法性和公正性？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
拍卖企业在哪些情况下会被有关行政机关依法处罚？,拍卖管理办法,1,1
如果发现有人违反《招标投标法》，应由哪个部门进行处罚？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
投标保证金可以通过哪些方式提交？哪些方式是不被允许的？,投标保证金提交与退还操作须知,1,1
公共资源配置领域的政府信息公开目录是由哪个部门编制的？,上海市公共资源交易管理办法,0,
招标公告和资格预审公告的公告期限是多久？,财政部关于做好政府采购信息公开工作的通知,1,3
财政部门对供应商的行政处罚和信用信息会如何使用？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
什么是代理业务，哪些会员可以开展代理业务？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,4
电子招标投标中，发布媒介收到招标公告和公示信息后，多久内必须发布？,招标公告和公示信息发布管理办法,1,1
如何加强对国有资产收益的监督管理？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
大型居住社区项目设计文件审查采用告知承诺制时，勘察设计单位需要承担哪些责任？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,1,1
资格预审合格的投标申请人如何获取招标文件？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,6
交易所收到机构投资者的申报材料后，会如何进行审核？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,1,2
投标截止时间前未完成投标文件传输，会如何处理？,电子招标投标办法,1,1
竞买人扰乱公共资源拍卖活动，会受到什么处罚？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,1
碳排放配额的取得、转让、变更、清缴、注销等需要通过什么系统进行登记？,上海市碳排放管理试行办法,1,1
询价过程中，询价小组能否更改询价通知书中的技术和服务要求？,政府采购非招标采购方式管理办法,1,1
评标委员会成员的名单需要保密吗？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
采购文件应当包括哪些主要内容？,政府采购非招标采购方式管理办法,1,1
在实施乡村振兴战略中，到2020年的具体目标是什么？,中共中央、国务院关于实施乡村振兴战略的意见,1,1
我提交了投诉书后，行政监督部门多久会给我答复？如果不符合受理条件，他们会如何处理？,工程建设项目招标投标活动投诉处理办法,1,1
按照《【综合采购】上海市公共资源交易中心隔夜评标操作指引》规定，隔夜评标的工作时间一般截止到几点？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,1,1
中标人或竞得人在确定后，需要在多长时间内与出让人签订出让合同？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
磋商小组成员对评审报告有异议时，应该如何处理？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
如果对行政监督部门的投诉处理决定不满意，应该怎么办？,工程建设项目招标投标活动投诉处理办法,1,1
电子招标投标交易平台运营机构在招标过程中有哪些禁止行为？,电子招标投标办法,1,1
承接主体在政府购买服务项目中，是否需要配合相关部门的监督检查和绩效评价？,政府购买服务管理办法,1,1
区域性股权市场是否可以为外省企业提供服务？,区域性股权市场监督管理试行办法,1,1
如何确保政府采购内部控制管理制度的有效执行？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
在进行房地产买卖时，转让当事人需要缴纳哪些税费？,上海市房地产转让办法,1,1
拍卖企业在拍卖会前展示拍卖标的的具体要求是什么？,拍卖管理办法,1,1
会员在什么情况下可以使用交易所的标识及文字进行经营活动？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,2
企业资产转让需要经过哪些程序？,企业国有资产交易监督管理办法,1,2
非集中采购机构的采购代理机构是否需要建立内部控制管理制度？,财政部关于加强政府采购活动内部控制管理的指导意见,1,1
哪些部门负责监督工程建设项目中的货物招标投标活动？,工程建设项目货物招标投标办法,1,1
招标文件发出后，招标人需要进行哪些备案手续？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
投标保证金的上限是多少？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
评审小组在审查响应文件时，可以要求供应商进行澄清吗？,政府采购非招标采购方式管理办法,1,3
如何确保行政事业单位的资产得到有效使用和监管？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
工程建设项目中，如果货物合同价格超出了批准的概算投资范围，应当如何处理？,工程建设项目货物招标投标办法,1,2
如果产权转让项目信息披露期满未征集到意向受让方，应当如何处理？,企业国有资产交易监督管理办法,1,1
在政府采购项目中，如何判断一家餐饮企业属于中小微型企业？,工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知,1,1
产权交易机构在增资项目中具体负责哪些工作？,企业国有资产交易监督管理办法,1,5
招标文件修改后，通知潜在供应商的时间有何要求？,财政部关于做好政府采购信息公开工作的通知,0,
在什么情况下，采购人或者采购代理机构应当终止竞争性磋商采购活动？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
拍卖前展示拍卖标的的时间有何具体要求？,中华人民共和国拍卖法,1,4
市场主体在选择交易平台时有哪些限制？,上海市公共资源交易管理办法,1,1
中标人确定后，采购人或者采购代理机构应在多长时间内公告中标结果？,政府采购货物和服务招标投标管理办法,1,1
行政监督部门在什么情况下可以将投诉处理结果公布于媒体？,工程建设项目招标投标活动投诉处理办法,1,1
供应商在参与政府采购活动时，需要承担哪些主要义务？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),1,1
如果监管机构对预售款监管不当，导致预购人损失，责任应由谁承担？,上海市房地产转让办法,1,1
受托机构在进行尽职调查时，需要满足哪些基本要求？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
如果投标文件中文字金额和数字金额不一致，应以哪个为准？,房屋建筑和市政基础设施工程施工招标投标管理办法,0,
在房地产交换合同中，必须明确标注交换的价格差额吗？,上海市房地产转让办法,1,1
如果采购人未在规定时间内确定中标人，会有什么后果？,政府采购货物和服务招标投标管理办法,1,1
如果违法行为影响了成交结果，但合同尚未履行，应该如何处理？,政府采购非招标采购方式管理办法,1,1
所出资企业投资设立的重要子企业进行重大事项决策时，需要经过哪些审批流程？,企业国有资产监督管理暂行条例,1,2
联交所收到终结申请后，多久会作出决定？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
产权交易合同生效后，交易结果需要公示吗？如果需要，公示期限是多久？,企业国有资产交易监督管理办法,1,1
挂牌出让的时间有何规定？是否可以调整增价幅度？,招标拍卖挂牌出让国有建设用地使用权规定,1,1
如果违法行为影响了成交结果，但采购合同尚未履行，应如何处理？,政府采购非招标采购方式管理办法,1,1
上海市公共资源交易中心评标（评审）专家专家的信用记分达到多少分会被评为优秀？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
什么是《拍卖管理办法》所称的拍卖企业？,拍卖管理办法,1,1
开标过程中，投标人代表对开标记录有疑问，应该如何处理？,政府采购货物和服务招标投标管理办法,1,1
子企业产权转让在哪些情况下需要报国资监管机构批准？,企业国有资产交易监督管理办法,1,1
在使用综合评分法的采购项目中，如何处理提供相同品牌产品的多个投标人？,政府采购货物和服务招标投标管理办法,1,1
如果供应商在截止时间后送达响应文件，会有什么后果？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
如何界定政府采购中的“进口产品”？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
国家出资企业的董事、监事、高级管理人员因违法行为取得的收入，会如何处理？,中华人民共和国企业国有资产法,1,1
投标有效期的起始时间应如何确定？,工程建设项目施工招标投标办法,1,2
未中标投标人如何申请退还投标保证金？,投标保证金提交与退还操作须知,1,1
拍卖保证金的作用是什么，竞买人如何交纳？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,1,8
上海市公共资源交易中心评标（评审）专家信用记分低于80分但高于70分时，会有什么影响？,【综合采购】上海市公共资源交易中心评标（评审）专家信用记分评估标准（试行）,1,1
企业申请取得从事拍卖业务的许可，需要满足哪些条件？,拍卖管理办法,1,1
如果采购人、采购代理机构未依法发布政府采购项目信息，会受到怎样的处理？,财政部关于做好政府采购信息公开工作的通知,1,7
